ALARM on 4/8/2018 9:03:34 PM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/8/2018 9:03:35 PM - Tag AItag3 value: 97.8147600733806 | High limit: 95
ALARM on 4/8/2018 9:03:35 PM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/8/2018 9:03:36 PM - Tag AItag3 value: 96.5925826289068 | High limit: 95
ALARM on 4/8/2018 9:03:36 PM - Tag AItag1 value: 95.1056516295154 | High limit: 90
ALARM on 4/8/2018 9:03:37 PM - Tag AItag3 value: 95.1056516295154 | High limit: 95
ALARM on 4/8/2018 9:03:37 PM - Tag AItag1 value: 93.3580426497202 | High limit: 90
ALARM on 4/8/2018 9:03:38 PM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/8/2018 9:03:59 PM - Tag AItag1 value: 5.23359562429443 | Low limit: 10
ALARM on 4/8/2018 9:04:00 PM - Tag AItag3 value: 0 | Low limit: 5
ALARM on 4/8/2018 9:04:01 PM - Tag AItag1 value: 0 | Low limit: 10
ALARM on 4/8/2018 9:04:02 PM - Tag AItag1 value: 5.23359562429438 | Low limit: 10
ALARM on 4/8/2018 9:04:23 PM - Tag AItag1 value: 91.3545457642601 | High limit: 90
ALARM on 4/8/2018 9:04:24 PM - Tag AItag1 value: 95.1056516295154 | High limit: 90
ALARM on 4/8/2018 9:04:24 PM - Tag AItag3 value: 95.1056516295154 | High limit: 95
ALARM on 4/8/2018 9:04:25 PM - Tag AItag1 value: 96.5925826289068 | High limit: 90
ALARM on 4/8/2018 9:04:25 PM - Tag AItag3 value: 96.5925826289068 | High limit: 95
ALARM on 4/8/2018 9:04:26 PM - Tag AItag1 value: 97.8147600733806 | High limit: 90
ALARM on 4/8/2018 9:04:26 PM - Tag AItag3 value: 97.8147600733806 | High limit: 95
ALARM on 4/8/2018 9:04:27 PM - Tag AItag1 value: 98.7688340595138 | High limit: 90
ALARM on 4/8/2018 9:04:27 PM - Tag AItag3 value: 98.7688340595138 | High limit: 95
ALARM on 4/8/2018 9:04:28 PM - Tag AItag1 value: 99.4521895368273 | High limit: 90
ALARM on 4/8/2018 9:04:28 PM - Tag AItag3 value: 99.4521895368273 | High limit: 95
ALARM on 4/8/2018 9:04:29 PM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/8/2018 9:04:29 PM - Tag AItag3 value: 99.8629534754574 | High limit: 95
ALARM on 4/8/2018 9:04:30 PM - Tag AItag1 value: 100 | High limit: 90
ALARM on 4/8/2018 9:04:30 PM - Tag AItag3 value: 100 | High limit: 95
ALARM on 4/8/2018 9:04:31 PM - Tag AItag1 value: 99.8629534754574 | High limit: 90
ALARM on 4/8/2018 9:04:31 PM - Tag AItag3 value: 99.8629534754574 | High limit: 95
ALARM on 4/8/2018 9:04:32 PM - Tag AItag1 value: 99.4521895368273 | High limit: 90
